step	inlet	outlet	
00000	-0.000309	0.000316	
00100	-124.999999	124.927105	
00200	-124.999999	124.999512	
00300	-124.999999	125.000237	
00400	-124.999999	124.999922	
00500	-124.999999	125.000004	
00600	-124.999999	125.000001	
00700	-124.999999	125.000002	
00800	-124.999999	124.999998	
00900	-124.999999	124.999999	
01000	-124.999999	124.999999	
01100	-124.999999	124.999999	
01200	-124.999999	124.999999	
01300	-124.999999	124.999999	
01400	-124.999999	124.999999	
01500	-124.999999	124.999999	
01600	-124.999999	124.999999	
01700	-124.999999	124.999999	
01800	-124.999999	124.999999	
01900	-124.999999	124.999999	
02000	-124.999999	124.999999	
02100	-124.999999	nan	
02200	-124.999999	nan	
02300	-124.999999	nan	
02400	-124.999999	nan	
02500	-124.999999	nan	
02600	-124.999999	nan	
02700	-124.999999	nan	
02800	-124.999999	nan	
02900	-124.999999	nan	
03000	-124.999999	nan	
