step	inlet	outlet	
00000	0.000000	0.000000	
00100	279.228656	14.595617	
00200	14.764919	6.987514	
00300	15.635169	7.007273	
00400	15.347826	7.007752	
00500	15.417191	7.007777	
00600	15.422981	7.007888	
00700	15.419007	7.007829	
00800	15.417209	7.007799	
00900	15.417603	7.007802	
01000	15.417857	7.007801	
01100	15.417866	7.007800	
01200	15.417870	7.007800	
01300	15.417866	7.007800	
01400	15.417866	7.007800	
01500	15.417866	7.007800	
01600	15.417866	7.007800	
01700	15.417866	7.007800	
01800	15.417866	7.007800	
01900	15.417866	7.007800	
02000	15.417866	7.007800	
02100	nan	nan	
02200	nan	nan	
02300	nan	nan	
02400	nan	nan	
02500	nan	nan	
02600	nan	nan	
02700	nan	nan	
02800	nan	nan	
02900	nan	nan	
03000	nan	nan	
