"pressure","Points:0","Points:1","Points:2"
151.04,0,0,5.32
150.83,0,0,5.34
150.66,0,0,5.36
150.59,0,0,5.38
150.49,0,0,5.4
150.27,0,0,5.42
150.11,0,0,5.44
149.94,0,0,5.46
149.76,0,0,5.48
149.54,0,0,5.5
149.27,0,0,5.52
149.02,0,0,5.54
148.83,0,0,5.56
148.63,0,0,5.58
148.44,0,0,5.6
148.27,0,0,5.62
148.1,0,0,5.64
147.93,0,0,5.66
147.71,0,0,5.68
147.49,0,0,5.7
147.32,0,0,5.72
147.12,0,0,5.74
146.9,0,0,5.76
146.67,0,0,5.78
146.44,0,0,5.8
146.22,0,0,5.82
145.99,0,0,5.84
145.79,0,0,5.86
145.59,0,0,5.88
145.4,0,0,5.9
145.21,0,0,5.92
144.99,0,0,5.94
144.76,0,0,5.96
144.53,0,0,5.98
144.34,0,0,6
144.12,0,0,6.02
143.92,0,0,6.04
143.76,0,0,6.06
143.59,0,0,6.08
143.41,0,0,6.1
143.18,0,0,6.12
142.94,0,0,6.14
142.7,0,0,6.16
142.48,0,0,6.18
142.28,0,0,6.2
142.08,0,0,6.22
141.95,0,0,6.24
141.71,0,0,6.26
141.52,0,0,6.28
141.34,0,0,6.3
141.14,0,0,6.32
140.89,0,0,6.34
140.62,0,0,6.36
140.38,0,0,6.38
140.23,0,0,6.4
140.03,0,0,6.42
139.83,0,0,6.44
139.63,0,0,6.46
139.42,0,0,6.48
139.19,0,0,6.5
138.98,0,0,6.52
138.74,0,0,6.54
138.52,0,0,6.56
138.36,0,0,6.58
138.17,0,0,6.6
137.91,0,0,6.62
137.67,0,0,6.64
137.48,0,0,6.66
137.3,0,0,6.68
137.13,0,0,6.7
136.98,0,0,6.72
136.83,0,0,6.74
136.69,0,0,6.76
136.49,0,0,6.78
136.26,0,0,6.8
136.03,0,0,6.82
135.8,0,0,6.84
135.55,0,0,6.86
135.3,0,0,6.88
135.09,0,0,6.9
134.94,0,0,6.92
134.8,0,0,6.94
134.64,0,0,6.96
134.42,0,0,6.98
134.17,0,0,7
133.92,0,0,7.02
133.68,0,0,7.04
133.48,0,0,7.06
133.31,0,0,7.08
133.04,0,0,7.1
132.74,0,0,7.12
132.52,0,0,7.14
132.34,0,0,7.16
132.2,0,0,7.18
132.07,0,0,7.2
131.85,0,0,7.22
131.64,0,0,7.24
131.44,0,0,7.26
131.23,0,0,7.28
131.01,0,0,7.3
130.79,0,0,7.32
130.58,0,0,7.34
130.34,0,0,7.36
130.2,0,0,7.38
130.04,0,0,7.4
129.88,0,0,7.42
129.67,0,0,7.44
129.35,0,0,7.46
129.03,0,0,7.48
128.81,0,0,7.5
128.67,0,0,7.52
128.55,0,0,7.54
128.38,0,0,7.56
128.16,0,0,7.58
127.94,0,0,7.6
127.72,0,0,7.62
127.54,0,0,7.64
127.36,0,0,7.66
127.24,0,0,7.68
127.03,0,0,7.7
126.79,0,0,7.72
126.53,0,0,7.74
126.26,0,0,7.76
126.05,0,0,7.78
125.81,0,0,7.8
125.55,0,0,7.82
125.34,0,0,7.84
125.17,0,0,7.86
125.05,0,0,7.88
124.93,0,0,7.9
124.73,0,0,7.92
124.51,0,0,7.94
124.26,0,0,7.96
124.01,0,0,7.98
123.8,0,0,8
123.61,0,0,8.02
123.4,0,0,8.04
123.13,0,0,8.06
122.9,0,0,8.08
122.66,0,0,8.1
122.48,0,0,8.12
122.31,0,0,8.14
122.13,0,0,8.16
121.95,0,0,8.18
121.76,0,0,8.2
121.57,0,0,8.22
121.39,0,0,8.24
121.2,0,0,8.26
120.97,0,0,8.28
120.75,0,0,8.3
120.54,0,0,8.32
120.33,0,0,8.34
120.14,0,0,8.36
119.97,0,0,8.38
119.81,0,0,8.4
119.65,0,0,8.42
119.47,0,0,8.44
119.22,0,0,8.46
119,0,0,8.48
118.81,0,0,8.5
118.62,0,0,8.52
118.43,0,0,8.54
118.25,0,0,8.56
118.04,0,0,8.58
117.83,0,0,8.6
117.58,0,0,8.62
117.35,0,0,8.64
117.15,0,0,8.66
116.93,0,0,8.68
116.69,0,0,8.7
116.46,0,0,8.72
116.28,0,0,8.74
116.09,0,0,8.76
115.87,0,0,8.78
115.65,0,0,8.8
115.42,0,0,8.82
115.18,0,0,8.84
115.03,0,0,8.86
114.88,0,0,8.88
114.73,0,0,8.9
114.57,0,0,8.92
114.4,0,0,8.94
114.14,0,0,8.96
113.85,0,0,8.98
113.57,0,0,9
113.39,0,0,9.02
113.21,0,0,9.04
113.03,0,0,9.06
112.87,0,0,9.08
112.69,0,0,9.1
112.5,0,0,9.12
112.18,0,0,9.14
111.87,0,0,9.16
111.62,0,0,9.18
111.41,0,0,9.2
111.25,0,0,9.22
111.12,0,0,9.24
111.01,0,0,9.26
110.81,0,0,9.28
110.59,0,0,9.3
110.37,0,0,9.32
110.19,0,0,9.34
110.02,0,0,9.36
109.85,0,0,9.38
109.64,0,0,9.4
109.41,0,0,9.42
109.18,0,0,9.44
108.96,0,0,9.46
108.73,0,0,9.48
108.49,0,0,9.5
108.25,0,0,9.52
108.01,0,0,9.54
107.77,0,0,9.56
107.56,0,0,9.58
107.43,0,0,9.6
107.29,0,0,9.62
107.13,0,0,9.64
106.83,0,0,9.66
106.54,0,0,9.68
106.28,0,0,9.7
106.03,0,0,9.72
105.83,0,0,9.74
105.72,0,0,9.76
105.6,0,0,9.78
105.45,0,0,9.8
105.29,0,0,9.82
105.13,0,0,9.84
104.88,0,0,9.86
104.66,0,0,9.88
104.44,0,0,9.9
104.1,0,0,9.92
103.77,0,0,9.94
103.54,0,0,9.96
103.42,0,0,9.98
103.31,0,0,10
103.19,0,0,10.02
103.08,0,0,10.04
102.9,0,0,10.06
102.67,0,0,10.08
102.43,0,0,10.1
102.2,0,0,10.12
101.93,0,0,10.14
101.68,0,0,10.16
101.41,0,0,10.18
101.13,0,0,10.2
100.95,0,0,10.22
100.8,0,0,10.24
100.65,0,0,10.26
100.52,0,0,10.28
100.39,0,0,10.3
100.22,0,0,10.32
100.04,0,0,10.34
99.82,0,0,10.36
99.535,0,0,10.38
99.244,0,0,10.4
98.929,0,0,10.42
98.69,0,0,10.44
98.488,0,0,10.46
98.333,0,0,10.48
98.154,0,0,10.5
97.973,0,0,10.52
97.814,0,0,10.54
97.653,0,0,10.56
97.484,0,0,10.58
97.229,0,0,10.6
96.974,0,0,10.62
96.719,0,0,10.64
96.492,0,0,10.66
96.268,0,0,10.68
96.044,0,0,10.7
95.83,0,0,10.72
95.618,0,0,10.74
95.406,0,0,10.76
95.213,0,0,10.78
95.034,0,0,10.8
94.869,0,0,10.82
94.706,0,0,10.84
94.521,0,0,10.86
94.327,0,0,10.88
94.116,0,0,10.9
93.899,0,0,10.92
93.691,0,0,10.94
93.483,0,0,10.96
93.27,0,0,10.98
93.098,0,0,11
92.922,0,0,11.02
92.748,0,0,11.04
